"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"223",2013 Q1,"New Commitment","PROPERTY",1280.33
"224",2013 Q1,"New Commitment","SEX OFFENSE",1982
"225",2013 Q1,"New Commitment","WEAPONS",57.94
"226",2013 Q1,"Technical Commitment","ALCOHOL & DRUG",53.29
"227",2013 Q1,"Technical Commitment","DRIVING",36.2
"228",2013 Q1,"Technical Commitment","DRUG POSSESSION ONLY",31.14
"229",2013 Q1,"Technical Commitment","MURDER",47.02
"230",2013 Q1,"Technical Commitment","OTHER",13.1
"231",2013 Q1,"Technical Commitment","PERSON",130.25
"232",2013 Q1,"Technical Commitment","PROPERTY",150.16
"233",2013 Q1,"Technical Commitment","SEX OFFENSE",203.14
"234",2013 Q1,"Technical Commitment","WEAPONS",15.3
"235",2013 Q2,"New Commitment","ALCOHOL & DRUG",531.85
"236",2013 Q2,"New Commitment","DRIVING",239.21
"237",2013 Q2,"New Commitment","DRUG POSSESSION ONLY",309.73
"238",2013 Q2,"New Commitment","MURDER",657.68
"239",2013 Q2,"New Commitment","OTHER",97.87
"240",2013 Q2,"New Commitment","PERSON",1162.74
"241",2013 Q2,"New Commitment","PROPERTY",1305.09
"242",2013 Q2,"New Commitment","SEX OFFENSE",1994.64
"243",2013 Q2,"New Commitment","WEAPONS",65.91
"244",2013 Q2,"Technical Commitment","ALCOHOL & DRUG",56.74
"245",2013 Q2,"Technical Commitment","DRIVING",36.16
"246",2013 Q2,"Technical Commitment","DRUG POSSESSION ONLY",29.44
"247",2013 Q2,"Technical Commitment","MURDER",49.67
"248",2013 Q2,"Technical Commitment","OTHER",15.92
"249",2013 Q2,"Technical Commitment","PERSON",134.43
"250",2013 Q2,"Technical Commitment","PROPERTY",158.68
"251",2013 Q2,"Technical Commitment","SEX OFFENSE",198.73
"252",2013 Q2,"Technical Commitment","WEAPONS",13.54
"253",2013 Q3,"New Commitment","ALCOHOL & DRUG",532.88
"254",2013 Q3,"New Commitment","DRIVING",237.85
"255",2013 Q3,"New Commitment","DRUG POSSESSION ONLY",323.61
"256",2013 Q3,"New Commitment","MURDER",660.92
"257",2013 Q3,"New Commitment","OTHER",95.8
"258",2013 Q3,"New Commitment","PERSON",1168.56
"259",2013 Q3,"New Commitment","PROPERTY",1309.31
"260",2013 Q3,"New Commitment","SEX OFFENSE",2013.3
"261",2013 Q3,"New Commitment","WEAPONS",71.83
"262",2013 Q3,"Technical Commitment","ALCOHOL & DRUG",61.9
"263",2013 Q3,"Technical Commitment","DRIVING",44.97
"264",2013 Q3,"Technical Commitment","DRUG POSSESSION ONLY",30.81
"265",2013 Q3,"Technical Commitment","MURDER",50.32
"266",2013 Q3,"Technical Commitment","OTHER",13.89
"267",2013 Q3,"Technical Commitment","PERSON",138.38
"268",2013 Q3,"Technical Commitment","PROPERTY",173.18
"269",2013 Q3,"Technical Commitment","SEX OFFENSE",194.11
"270",2013 Q3,"Technical Commitment","WEAPONS",12.25
"271",2013 Q4,"New Commitment","ALCOHOL & DRUG",535.33
"272",2013 Q4,"New Commitment","DRIVING",226.74
"273",2013 Q4,"New Commitment","DRUG POSSESSION ONLY",335.68
"274",2013 Q4,"New Commitment","MURDER",660.57
"275",2013 Q4,"New Commitment","OTHER",87.46
"276",2013 Q4,"New Commitment","PERSON",1168.79
"277",2013 Q4,"New Commitment","PROPERTY",1311.67
"278",2013 Q4,"New Commitment","SEX OFFENSE",2022.3
"279",2013 Q4,"New Commitment","WEAPONS",72.59
"280",2013 Q4,"Technical Commitment","ALCOHOL & DRUG",59.97
"281",2013 Q4,"Technical Commitment","DRIVING",44.5
"282",2013 Q4,"Technical Commitment","DRUG POSSESSION ONLY",37.59
"283",2013 Q4,"Technical Commitment","MURDER",48.32
"284",2013 Q4,"Technical Commitment","OTHER",11.33
"285",2013 Q4,"Technical Commitment","PERSON",140.85
"286",2013 Q4,"Technical Commitment","PROPERTY",170.7
"287",2013 Q4,"Technical Commitment","SEX OFFENSE",199.14
"288",2013 Q4,"Technical Commitment","WEAPONS",11.01
"289",2014 Q1,"New Commitment","ALCOHOL & DRUG",525.08
"290",2014 Q1,"New Commitment","DRIVING",215.23
"291",2014 Q1,"New Commitment","DRUG POSSESSION ONLY",316.45
"292",2014 Q1,"New Commitment","MURDER",665.56
"293",2014 Q1,"New Commitment","OTHER",83.83
"294",2014 Q1,"New Commitment","PERSON",1165.31
"295",2014 Q1,"New Commitment","PROPERTY",1258.36
"296",2014 Q1,"New Commitment","SEX OFFENSE",2016.96
